Codigo;ID_Zona;Latitud;Longitud
PH022625;6400161;10.37210138;-75.475075
PH022629;6400162;10.37984022;-75.4913824
PH022621;6400157;10.37235925;-75.48738586
PH022635;6400157;10.40146226;-75.48685295
PH022631;6400154;10.41459028;-75.48824239
PH022638;6400162;10.43608649;-75.52740928
PH022626;6400157;10.37846886;-75.48779062
PH022636;6400157;10.39543599;-75.48258527
PH022633;6400157;10.40003986;-75.48510384
PH022637;6400157;10.39583808;-75.48322048
PH022634;6400157;10.40030736;-75.48576982
PH022617;6400154;10.08355513;-75.13803648
PH022616;6400154;9.95674057;-75.07914425
PH022654;6400154;10.3731398;-75.4978017
PH022628;6400153;10.36910533;-75.47442601
PH022632;6400153;10.41195636;-75.5183882
PH022640;6400153;10.53192513;-75.4006846
PH022643;6400153;10.44823618;-75.36986157
PH022644;6400153;10.45163773;-75.36841222
PH022653;6400159;10.2816304;-75.51368278
PH022620;6400156;10.33493157;-75.47623706
PH022622;6400156;10.33466757;-75.47298497
PH022623;6400156;10.34429272;-75.48644096
PH022624;6400156;10.3450559;-75.48676372
PH022652;6400161;10.32916875;-75.42216715
PH022645;6400162;10.40031152;-75.45596352
PH022646;6400162;10.40065252;-75.45592267
PH022647;6400162;10.40099688;-75.45601811
PH022648;6400162;10.40207636;-75.45527161
PH022649;6400162;10.40149358;-75.45539029
PH022650;6400162;10.40170435;-75.45467966
PH022651;6400162;10.40125028;-75.45545238
PH022661;6400154;10.40627067;-75.49080443
PH022667;6400154;10.41358506;-75.49625299
PH022669;6400154;10.41210059;-75.49784395
PH022656;6400162;10.38339388;-75.48815109
PH022657;6400162;10.38719059;-75.50168476
PH022658;6400162;10.38421229;-75.48791526
PH022660;6400161;10.39604452;-75.50961714
PH022659;6400157;10.39771411;-75.51838198
PH022665;6400153;10.41462071;-75.51955684
PH022662;6400153;10.41543377;-75.51715884
PH022666;6400153;10.41414629;-75.51797045
PH022663;6400153;10.41340456;-75.51876746
PH022671;6400153;10.44491643;-75.36353508
PH022664;6400153;10.41385437;-75.51952175
PH022672;6400153;10.44963213;-75.36907006
PH022668;6400159;10.40434492;-75.47847562
PH022670;6400159;10.41224432;-75.44545985
PH022673;6400154;10.44749609;-75.28094688
PH022655;6400159;10.41926062;-75.53136004
PH022676;6400154;10.35842505;-75.50018582
PH022677;6400154;10.36864563;-75.49324151
PH022696;6400154;10.44182431;-75.2754256
PH022680;6400162;10.37873627;-75.49944177
PH022681;6400162;10.38095811;-75.48764966
PH022691;6400162;10.41426429;-75.45701134
PH022693;6400162;10.53760968;-75.39961437
PH022694;6400162;10.53745271;-75.39559116
PH022697;6400162;10.53788866;-75.40050452
PH022678;6400153;10.36521152;-75.48148688
PH022679;6400153;10.36611261;-75.47861332
PH022685;6400153;10.41037266;-75.51350331
PH022692;6400153;10.53060881;-75.40024029
PH022674;6400158;10.24963337;-75.35338746
PH022682;6400159;10.40641815;-75.4869828
PH022683;6400159;10.40731169;-75.48808524
PH022684;6400159;10.4069527;-75.48673561
PH022695;6400159;10.41683558;-75.44573369
PH022675;6400156;10.13968249;-75.22313119
PH022686;6400156;10.41255829;-75.50587228
PH022687;6400156;10.4130878;-75.50702411
PH022688;6400156;10.41293988;-75.50695853
PH022689;6400156;10.41083668;-75.50657008
PH022690;6400156;10.40944275;-75.50354219
PH022702;6400159;10.40523231;-75.47228648
PH022701;6400154;10.31297461;-75.40720175
PH022700;6400154;10.31132006;-75.40529144
PH022699;6400162;10.40059227;-75.45511032
PH022711;6400161;10.07820345;-75.13853884
PH022707;6400153;10.25671128;-75.35215095
PH022708;6400153;10.25718659;-75.35205023
PH022710;6400153;10.26315258;-75.34857259
PH022698;6400157;10.40127237;-75.47335103
PH022703;6400157;10.4043759;-75.46417947
PH022704;6400157;10.40341546;-75.46452087
PH022705;6400157;10.40436844;-75.46194434
PH022706;6400157;10.40455862;-75.46207493
PH022709;6400153;10.26615949;-75.34970673
PH022721;6400161;10.39456942;-75.15061738
PH022713;6400157;10.37652018;-75.48330701
PH022714;6400157;10.37900944;-75.48256468
PH022719;6400154;10.41392194;-75.49311409
PH022722;6400154;10.37008396;-75.49690808
PH022715;6400162;10.41458833;-75.45646507
PH022712;6400162;10.38008437;-75.49668817
PH022717;6400157;10.37558576;-75.48860897
PH022723;6400157;10.37859449;-75.48479555
PH022718;6400153;10.39724573;-75.56365676
PH022716;6400162;10.53208616;-75.3951923
PH022720;6400162;10.54056643;-75.39287325
PH022725;6400153;10.41948547;-75.54499444
PH022726;6400153;10.41991166;-75.5444865
PH022731;6400153;10.44442999;-75.37206141
PH022736;6400153;10.39372545;-75.47229349
PH022730;6400157;10.60695959;-75.21709394
PH022727;6400162;10.38087513;-75.49198174
PH022735;6400162;10.41816633;-75.46246943
PH022724;6400154;10.38690305;-75.48859022
PH022728;6400154;10.42582843;-75.43974042
PH022729;6400154;10.42656545;-75.43947677
PH022732;6400154;10.33568128;-75.39827225
PH022734;6400158;10.40546954;-75.46026956
PH022733;6400159;10.40962153;-75.47167403
PH022741;6400153;10.41994807;-75.54495896
PH022747;6400153;10.41632388;-75.51963984
PH022748;6400153;10.53356076;-75.40065597
PH022737;6400162;10.24717263;-75.33871566
PH022743;6400154;10.40941556;-75.49166298
PH022746;6400154;10.41235757;-75.49646927
PH022749;6400154;10.42558824;-75.43916525
PH022750;6400154;10.42671835;-75.4392828
PH022751;6400154;10.42666119;-75.44000913
PH022739;6400156;10.36275689;-75.48466329
PH022740;6400156;10.36342645;-75.48388857
PH022742;6400157;10.38739529;-75.52410998
PH022745;6400157;10.37327039;-75.48748231
PH022738;6400159;9.99029787;-75.30293128
PH022744;6400161;10.39730066;-75.14740792
PH022766;6400157;10.40063262;-75.48138364
PH022760;6400157;10.40532474;-75.48942176
PH022762;6400157;10.39902431;-75.49138393
PH022754;6400157;10.39912443;-75.48080731
PH022759;6400153;10.41964156;-75.54532963
PH022764;6400153;10.41488525;-75.51574257
PH022756;6400161;10.32910418;-75.42444734
PH022755;6400154;10.33236438;-75.39988151
PH022763;6400156;10.41070837;-75.50430464
PH022767;6400156;10.40995961;-75.50606869
PH022758;6400161;9.94843938;-75.08610793
PH022753;6400154;10.41172746;-75.49078352
PH022752;6400161;10.39771569;-75.51707444
PH022761;6400161;10.44319073;-75.51542673
PH022757;6400159;10.40682011;-75.47019632
PH022765;6400159;10.40697593;-75.47795767
PH022769;6400154;10.31148758;-75.40483416
PH022771;6400154;10.38846684;-75.48651415
PH022779;6400156;10.35616973;-75.48452404
PH022768;6400157;10.60870668;-75.13920625
PH022784;6400157;10.60309037;-75.14094171
PH022773;6400159;10.40944284;-75.47643805
PH022775;6400159;10.40704458;-75.4545711
PH022772;6400159;10.4090417;-75.47669369
PH022780;6400159;10.41446806;-75.52699003
PH022770;6400159;10.42035;-75.53350256
PH022776;6400159;10.39973424;-75.47812927
PH022783;6400161;10.38411686;-75.14158316
PH022774;6400162;10.43872184;-75.52635555
PH022782;6400162;10.43231922;-75.52683585
PH022778;6400162;10.38142365;-75.49620398
PH022785;6400159;10.402417;-75.47383304
PH022786;6400161;10.06945007;-75.07444325
PH022777;6400153;10.26737511;-75.34854012
PH022781;6400153;10.41951382;-75.54507348
PH022788;6400156;10.39875236;-75.49539762
PH022792;6400156;10.3871687;-75.45604315
PH022790;6400162;10.53534462;-75.39399486
PH022795;6400162;10.37992645;-75.48820478
PH022791;6400158;10.38672441;-75.46171707
PH022794;6400158;10.38451918;-75.46587222
PH022787;6400157;10.37565216;-75.48975791
PH022796;6400157;10.60286024;-75.13948201
PH022789;6400154;10.39097501;-75.47743329
PH022793;6400161;10.32586155;-75.42367498
PH022799;6400161;10.32914705;-75.41350182
PH022797;6400154;9.96169465;-75.08004978
PH022800;6400157;10.41504106;-75.46416458
PH022798;6400162;10.38073148;-75.49884772
PH022802;6400157;10.37067529;-75.48437547
PH022807;6400157;10.40416931;-75.46806485
PH022804;6400154;10.42135125;-75.44559398
PH022805;6400154;10.33356;-75.4017241
PH022806;6400154;10.35633578;-75.50227859
PH022803;6400154;10.3916658;-75.48026454
PH022809;6400154;10.36750517;-75.49769219
PH022801;6400162;10.37560629;-75.49716687
PH022808;6400162;10.41256088;-75.46201019
PH022810;6400158;10.38833486;-75.50614507
PH022811;6400159;10.41262185;-75.52212273
PH022815;6400157;9.96615972;-75.28398083
PH022825;6400157;10.61115172;-75.14500778
PH022829;6400157;10.40579512;-75.46196569
PH022832;6400157;10.13408528;-75.2428544
PH022834;6400157;10.0496562;-75.26895279
PH022835;6400157;10.3958346;-75.51905008
PH022816;6400158;10.49479953;-75.12903285
PH022813;6400159;10.41129214;-75.47065326
PH022814;6400159;9.97592524;-75.29908963
PH022823;6400161;10.47964285;-75.49152926
PH022824;6400161;10.44313555;-75.52116523
